id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
79,HATFLDGLS,25,0,0,first_order,2.1858959204775715e-8,0.09782695770263672,342,4.378270384830206e-5,0.0,573,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,HEART6LS,6,0,0,user,9.367839934020589,0.011961936950683594,65,31.244991732811485,0.0,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,HEART8LS,8,0,0,user,1.5290918384760732,0.00802302360534668,49,2.248553926250863,0.0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,HELIX,3,0,0,first_order,1.0367236606345708e-6,0.0031681060791015625,95,0.0018326696006644072,0.0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,HIELOW,3,0,0,first_order,874.1654321238004,0.2721519470214844,67,0.0034690362515752368,0.0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,HILBERTA,2,0,0,first_order,1.6344471329374733e-11,0.0007479190826416016,8,1.465954452273605e-6,0.0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,HILBERTB,10,0,0,first_order,1.1182005521416483e-14,0.0012099742889404297,12,4.78959041646907e-7,0.0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,HIMMELBB,2,0,0,first_order,0.006509730312356041,0.00013303756713867188,4,0.17594252159178697,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,HIMMELBCLS,2,0,0,first_order,2.0013666174978338e-12,0.0007281303405761719,14,1.4860178452706208e-5,0.0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,HIMMELBF,4,0,0,user,1039.0036866152957,0.0014009475708007812,40,183.14674772840496,0.0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,HIMMELBG,2,0,0,first_order,1.1138731944785876e-16,0.0006740093231201172,18,3.617774282757484e-8,0.0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,HIMMELBH,2,0,0,first_order,-1.0000000000000002,0.0005359649658203125,14,3.8313425927144344e-9,0.0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,HUMPS,2,0,0,max_eval,50.13153480013496,0.01740121841430664,569,9.20685329978687,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,HYDC20LS,99,0,0,max_eval,2.190848078908392,0.6970977783203125,583,18.427056777169224,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,HYDCAR6LS,29,0,0,max_eval,0.6202694499117104,0.20639395713806152,578,2.049489734298151,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,INTEQNELS,502,0,0,first_order,7.485599143047438e-13,0.1637718677520752,7,1.7551015813074194e-6,0.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
